"","group","condition","kappa_hat_geo","kappa_hat_feat","kappa_hat_mix","medianRT","weight_hat_mix","weight_feature"
"1","Control","Ceiling light",5.67296996662959,NA,5.67296996662959,4.5465085,1,0
"2","Control","Ceiling light",3.33704115684093,NA,3.33704115684093,3.6121825,1,0
"3","Control","Ceiling light",5.33926585094549,NA,5.33926585094549,2.577026,1,0
"4","Control","Ceiling light",4.00444938820912,NA,4.00444938820912,1.9526365,1,0
"5","Control","Ceiling light",39.377085650723,NA,39.377085650723,4.9041445,1,0
"6","Control","Ceiling light",10.0111234705228,NA,10.0111234705228,4.4644775,1,0
"7","Control","Ceiling light",5.67296996662959,NA,5.67296996662959,1.9535675,1,0
"8","Control","Ceiling light",26.0289210233593,NA,26.0289210233593,5.7846675,1,0
"9","Control","Ceiling light",23.0255839822024,NA,23.0255839822024,3.923462,1,0
"10","Control","Ceiling light",25.027808676307,NA,25.027808676307,6.080017,1,0
"11","Control","Dynamic light",8.34260289210234,NA,8.34260289210234,4.743652,1,0
"12","Control","Dynamic light",3.67074527252503,NA,3.67074527252503,4.731842,1,0
"13","Control","Dynamic light",35.0389321468298,NA,35.0389321468298,4.0713805,1,0
"14","Control","Dynamic light",5.0055617352614,NA,5.0055617352614,2.0912785,1,0
"15","Control","Dynamic light",4.67185761957731,NA,4.67185761957731,5.9866485,1,0
"16","Control","Dynamic light",7.34149054505006,NA,7.34149054505006,5.672607,1,0
"17","Control","Dynamic light",4.00444938820912,NA,4.00444938820912,3.0705685,1,0
"18","Control","Dynamic light",32.035595105673,NA,32.035595105673,10.0333555,1,0
"19","Control","Dynamic light",6.34037819799777,NA,6.34037819799777,6.4207155,1,0
"20","Control","Dynamic light",113.793103448276,NA,113.793103448276,7.2259065,1,0
"21","Control","Sunlight",5.33926585094549,2.00222469410456,5.67296996662959,4.716675,0.204081632653061,0.795918367346939
"22","Control","Sunlight",6.00667408231368,1.33481646273637,6.00667408231368,3.7353515,0.408163265306122,0.591836734693878
"23","Control","Sunlight",3.67074527252503,0.667408231368187,3.67074527252503,3.0740355,0.591836734693878,0.408163265306122
"24","Control","Sunlight",17.686318131257,0,17.686318131257,1.921448,1,0
"25","Control","Sunlight",10.3448275862069,10.3448275862069,10.3448275862069,5.4899295,0,1
"26","Control","Sunlight",6.67408231368187,2.33592880978865,6.67408231368187,4.4592285,0.204081632653061,0.795918367346939
"27","Control","Sunlight",15.0166852057842,0.667408231368187,15.0166852057842,3.764221,0.693877551020408,0.306122448979592
"28","Control","Sunlight",6.00667408231368,2.00222469410456,5.67296996662959,6.154236,0.26530612244898,0.73469387755102
"29","Control","Sunlight",28.3648498331479,28.3648498331479,28.3648498331479,3.5373535,0,1
"30","Control","Sunlight",111.790878754171,111.790878754171,111.790878754171,4.668213,0,1
"31","R. Central","Ceiling light",11.3459399332592,NA,11.3459399332592,5.23407,1,0
"32","R. Central","Ceiling light",9.01001112347052,NA,9.01001112347052,1.3690795,1,0
"33","R. Central","Ceiling light",8.67630700778643,NA,8.67630700778643,6.233887,1,0
"34","R. Central","Ceiling light",63.0700778642937,NA,63.0700778642937,3.209534,1,0
"35","R. Central","Ceiling light",10.0111234705228,NA,10.0111234705228,3.2661135,1,0
"36","R. Central","Ceiling light",10.678531701891,NA,10.678531701891,2.44458,1,0
"37","R. Central","Ceiling light",34.3715239154616,NA,34.3715239154616,7.930939,1,0
"38","R. Central","Ceiling light",9.67741935483871,NA,9.67741935483871,6.724716,1,0
"39","R. Central","Ceiling light",17.686318131257,NA,17.686318131257,8.496094,1,0
"40","R. Central","Ceiling light",2.33592880978865,NA,2.33592880978865,4.0556945,1,0
"41","R. Central","Dynamic light",42.0467185761958,NA,42.0467185761958,7.06781,1,0
"42","R. Central","Dynamic light",4.67185761957731,NA,4.67185761957731,2.4649045,1,0
"43","R. Central","Dynamic light",13.3481646273637,NA,13.3481646273637,6.9608765,1,0
"44","R. Central","Dynamic light",21.6907675194661,NA,21.6907675194661,3.6924435,1,0
"45","R. Central","Dynamic light",4.00444938820912,NA,4.00444938820912,4.7716065,1,0
"46","R. Central","Dynamic light",9.67741935483871,NA,9.67741935483871,4.37941,1,0
"47","R. Central","Dynamic light",45.7174638487208,NA,45.7174638487208,12.127195,1,0
"48","R. Central","Dynamic light",6.34037819799777,NA,6.34037819799777,8.595154,1,0
"49","R. Central","Dynamic light",7.67519466073415,NA,7.67519466073415,7.481567,1,0
"50","R. Central","Dynamic light",3.67074527252503,NA,3.67074527252503,4.301178,1,0
"51","R. Central","Sunlight",77.7530589543938,1.33481646273637,77.7530589543938,5.90564,0.408163265306122,0.591836734693878
"52","R. Central","Sunlight",6.67408231368187,0,6.67408231368187,1.631714,1,0
"53","R. Central","Sunlight",19.0211345939933,19.0211345939933,19.0211345939933,4.589081,0,1
"54","R. Central","Sunlight",10.3448275862069,0,10.3448275862069,3.16449,1,0
"55","R. Central","Sunlight",4.67185761957731,2.00222469410456,4.33815350389321,2.598633,0.26530612244898,0.73469387755102
"56","R. Central","Sunlight",7.67519466073415,1.33481646273637,7.67519466073415,3.2494505,0.489795918367347,0.510204081632653
"57","R. Central","Sunlight",27.0300333704116,27.0300333704116,27.0300333704116,4.3013305,0,1
"58","R. Central","Sunlight",12.0133481646274,4.00444938820912,12.0133481646274,5.392372,0.102040816326531,0.897959183673469
"59","R. Central","Sunlight",22.6918798665184,2.66963292547275,22.6918798665184,4.8670045,0.204081632653061,0.795918367346939
"60","R. Central","Sunlight",1.66852057842047,0,1.66852057842047,3.033386,0.979591836734694,0.020408163265306
"61","R. Field","Ceiling light",25.3615127919911,NA,25.3615127919911,14.857785,1,0
"62","R. Field","Ceiling light",58.7319243604004,NA,58.7319243604004,9.41687,1,0
"63","R. Field","Ceiling light",14.349276974416,NA,14.349276974416,4.655029,1,0
"64","R. Field","Ceiling light",49.3882091212458,NA,49.3882091212458,5.828186,1,0
"65","R. Field","Ceiling light",119.132369299221,NA,119.132369299221,3.9484865,1,0
"66","R. Field","Ceiling light",26.6963292547275,NA,26.6963292547275,5.5836185,1,0
"67","R. Field","Ceiling light",7.67519466073415,NA,7.67519466073415,4.324951,1,0
"68","R. Field","Ceiling light",12.3470522803115,NA,12.3470522803115,6.3558655,1,0
"69","R. Field","Ceiling light",16.3515016685206,NA,16.3515016685206,8.3570555,1,0
"70","R. Field","Ceiling light",11.0122358175751,NA,11.0122358175751,4.9487915,1,0
"71","R. Field","Dynamic light",28.3648498331479,NA,28.3648498331479,13.667785,1,0
"72","R. Field","Dynamic light",9.67741935483871,NA,9.67741935483871,12.63153,1,0
"73","R. Field","Dynamic light",11.6796440489433,NA,11.6796440489433,5.5831905,1,0
"74","R. Field","Dynamic light",21.357063403782,NA,21.357063403782,7.727783,1,0
"75","R. Field","Dynamic light",197.552836484983,NA,197.552836484983,5.05127,1,0
"76","R. Field","Dynamic light",112.124582869855,NA,112.124582869855,4.5849,1,0
"77","R. Field","Dynamic light",24.0266963292547,NA,24.0266963292547,6.5800475,1,0
"78","R. Field","Dynamic light",16.0177975528365,NA,16.0177975528365,6.4387205,1,0
"79","R. Field","Dynamic light",24.0266963292547,NA,24.0266963292547,12.61401,1,0
"80","R. Field","Dynamic light",16.0177975528365,NA,16.0177975528365,3.906006,1,0
"81","R. Field","Sunlight",42.3804226918799,42.3804226918799,42.3804226918799,6.5965575,0,1
"82","R. Field","Sunlight",38.0422691879867,2.66963292547275,38.0422691879867,7.8955075,0.204081632653061,0.795918367346939
"83","R. Field","Sunlight",12.0133481646274,0.667408231368187,12.0133481646274,3.9699705,0.693877551020408,0.306122448979592
"84","R. Field","Sunlight",74.0823136818687,0.667408231368187,74.0823136818687,7.6206665,0.693877551020408,0.306122448979592
"85","R. Field","Sunlight",62.7363737486096,0.333704115684093,62.7363737486096,4.173233,0.897959183673469,0.102040816326531
"86","R. Field","Sunlight",15.0166852057842,0,15.0166852057842,6.2772215,1,0
"87","R. Field","Sunlight",13.6818687430478,1.33481646273637,13.6818687430478,4.915077,0.408163265306122,0.591836734693878
"88","R. Field","Sunlight",10.3448275862069,1.66852057842047,10.3448275862069,6.639282,0.306122448979592,0.693877551020408
"89","R. Field","Sunlight",9.01001112347052,1.33481646273637,9.01001112347052,9.0974125,0.428571428571429,0.571428571428571
"90","R. Field","Sunlight",21.6907675194661,0.333704115684093,21.6907675194661,5.534454,0.795918367346939,0.204081632653061
